stock_ticker,percent_change_avg,percent_change_latest,prediction_by_avg,prediction_by_latest,price_latest,standard_deviation
AAPL,-0.249938,-0.000749,134.67,179.42,179.55,0.127928
AXP,-0.0464,-0.00035,106.15,111.27,111.31,0.029292
BA,-0.081486,0.000784,314.65,342.83,342.56,0.051589
CAT,-0.153471,0.000589,110.24,130.31,130.23,0.107884
CSCO,-0.005494,0.000172,47.08,47.35,47.34,0.058628
CVX,-0.058803,-0.000974,111.86,118.73,118.85,0.031827
DJI,-0.025718,0.00034,24687.19,25347.47,25338.84,0.037199
GS,-0.30484,-0.007132,135.45,193.46,194.85,0.056214
HD,-0.138783,0.001929,151.28,176.00,175.66,0.065980
IBM,-0.181735,0.001191,99.40,121.62,121.48,0.093563
INTC,0.084718,0.002172,51.74,47.80,47.70,0.039313
JNJ,-0.016107,-0.000387,143.50,145.79,145.85,0.025961
JPM,-0.048289,0.000459,104.75,110.11,110.06,0.040252
KO,-0.003508,-0.000145,48.81,48.97,48.98,0.044085
MCD,0.127842,-0.000701,213.46,189.13,189.26,0.037315
MMM,-0.057139,-0.000217,192.87,204.52,204.56,0.039179
MRK,0.038644,-0.001013,80.92,77.83,77.91,0.023547
MSFT,-0.044508,0.000214,105.29,110.21,110.19,0.044115
NKE,-0.251466,-0.006760,55.65,73.84,74.34,0.051370
PFE,0.015035,0.000215,46.19,45.52,45.51,0.062117
PG,0.042101,-0.001459,96.73,92.68,92.82,0.036009
TRV,-0.039704,-0.000666,125.44,130.54,130.63,0.024689
UNH,0.058141,0.001256,298.98,282.90,282.55,0.029751
UTX,-0.145827,-0.002709,103.53,120.87,121.20,0.048066
V,-0.136929,-0.014188,120.05,137.13,139.10,0.043232
VZ,0.089849,-0.000551,64.79,59.42,59.45,0.022469
WBA,0.257399,0.005418,106.69,85.31,84.85,0.048766
WMT,0.042650,0.000411,101.44,97.33,97.29,0.016612
XOM,-0.084407,0.000238,72.39,79.08,79.06,0.044232
DIS,n/a,n/a,n/a,n/a,n/a,n/a
^GSPC,n/a,n/a,n/a,n/a,n/a,n/a
DWDP,n/a,n/a,n/a,n/a,n/a,n/a
^IXIC,n/a,n/a,n/a,n/a,n/a,n/a
